device,device_type
284286-606065,Tablet
103434-704012,Game
594253-624082,Other
935368-498019,Game
218448-753110,Computer
688336-215028,Tablet
810316-773097,Game
862267-373080,TV
321099-417057,Game
847096-756084,Game
352114-736079,Game
499222-357089,Phone
299366-702057,Game
935534-441097,Computer
389401-262048,Other
256253-153038,Computer
021204-759028,Tablet
827402-507000,Game
091410-252057,Game
129138-605076,Computer
730320-428046,Phone
961294-375100,Game
548235-142001,Other
232479-164101,TV
197529-709093,Game
965526-628020,Tablet
352354-761032,Other
020338-232022,Computer
396230-660079,Computer
876188-632030,Game
879306-569105,Other
019295-358055,Other
060005-572039,Tablet
360312-487102,Other
476080-627024,Computer
226019-363066,Computer
470184-553097,Other
563267-682067,Computer
509058-647092,Phone
326314-430074,Tablet
366127-697085,Computer
245393-699099,Computer
298135-170037,Phone
643319-217102,Phone
993440-187013,Computer
971306-503031,Phone
104038-675110,Tablet
017361-350063,Other
853403-438063,TV
272129-299070,TV
136293-377051,Computer
788234-306006,Computer
279252-248015,Game
767277-339080,Computer
151427-647094,Computer
465087-261003,Computer
641112-223029,Game
146401-361105,Tablet
469021-770022,Other
923508-168031,Computer
972027-366013,Phone
437276-514007,Game
589308-661080,Tablet
997101-166073,Other
746176-771018,Computer
531073-697051,Game
786294-206066,Phone
687219-708103,Phone
731371-349076,Game
381504-552065,Computer
556542-508087,Tablet
721359-224086,Game
829449-664047,Tablet
736268-704101,Tablet
469221-141016,Game
226417-582010,Phone
753237-199088,Phone
032024-706024,Game
087466-209108,TV
992058-651024,Phone
429439-730074,Other
658216-168052,Tablet
544098-581031,Computer
015199-404003,Phone
809495-243059,Tablet
524440-401043,Phone
036193-678085,Other
084495-272072,Tablet
552550-500042,Other
074531-751085,Tablet
392202-583048,Game
133318-273100,TV
836332-199070,Game
299321-433057,Phone
822275-605102,Tablet
771365-142085,Tablet
087046-319095,TV
059292-228001,TV
915074-603088,Phone
742090-193008,Other
015504-632051,TV
021243-151052,Tablet
819444-775059,Tablet
882144-128048,Other
477103-153007,Tablet
356001-528007,Other
191484-447071,Computer
102080-235061,Computer
673401-455041,Tablet
164261-645101,Game
868055-616056,Phone
430017-612063,Phone
636245-223078,Computer
638398-433070,Game
923389-429003,Tablet
881471-582098,Phone
267399-443024,Phone
936155-200086,Other
100167-134089,Other
711456-385028,TV
213180-291054,Game
552542-364033,Game
809014-239071,Tablet
764025-470012,Other
406104-671052,Phone
108402-323081,Computer
388474-256058,Tablet
707087-160055,Game
097021-567046,TV
143126-693039,TV
347346-386042,Game
604348-386031,Game
697313-532027,Computer
564046-369059,Tablet
814023-325050,Game
909178-644051,Tablet
740149-774027,TV
527046-206097,Phone
960120-393070,Computer
076202-618029,Game
657064-184073,Game
531080-442079,Other
886489-738073,TV
556176-209074,TV
689276-588103,Tablet
378447-767110,Phone
778294-767090,Tablet
577518-480036,Phone
275068-668089,Tablet
922234-498092,Tablet
417172-742096,Computer
385211-655016,Other
350407-462081,Tablet
796126-384110,Computer
293140-246046,Game
829037-130090,TV
894304-698022,Game
350444-629011,Computer
508521-419059,TV
227436-259042,TV
247535-248097,Game
549095-702079,Game
379177-551040,Phone
870445-521089,Computer
548255-145068,Game
219430-205071,TV
302276-744038,Other
660501-483081,Phone
251451-112080,TV
124086-706058,TV
169217-226068,Tablet
386241-584002,TV
397228-654000,Computer
756290-310042,Tablet
794423-432098,Game
818509-458030,Phone
153444-313108,Computer
426535-320078,Computer
393042-147089,Game
698157-252067,Phone
797416-743013,TV
812508-514021,Game
773216-742027,Phone
831062-563105,Computer
134520-754099,Other
842211-375000,TV
257552-764001,Computer
363538-211021,Other
799481-660026,Game
664409-339023,TV
868122-762104,Other
139329-765084,Game
556306-650109,Computer
196225-623109,Game
163534-449075,TV
412077-440077,Computer
297481-696104,Tablet
951512-592058,Computer
899260-193049,Game
443333-302023,Game
397349-227080,TV
136462-758096,Game
234283-330091,Other
423361-596048,Game
203305-222024,Other
449182-601056,Game
836116-368050,Phone
515197-346010,TV
276279-498016,Phone
424309-685036,Computer
929246-438106,Tablet
492107-698027,Phone
660147-462013,Other
843404-307031,Game
891316-712046,Other
464132-676046,TV
794443-366002,Tablet
918169-226077,Tablet
252307-620105,Other
212388-254024,Other
259057-616065,Game
217088-594097,Tablet
710234-158105,Game
726055-458060,Other
747354-220094,Tablet
285344-437026,Other
387154-589079,Phone
540147-732046,Computer
825419-673075,TV
262214-271035,Phone
021081-480084,Game
548365-242048,Tablet
102328-207094,Phone
173347-521081,TV
605284-508001,TV
167202-739019,Game
645525-353055,Game
935431-438098,Other
830493-279044,Game
959329-546057,TV
305118-627016,Phone
343551-540014,Phone
151350-302003,TV
929203-219006,Other
698077-497006,Other
422522-220044,Other
001382-543095,TV
672543-255102,TV
849256-195109,Computer
530037-213096,Game
796159-396038,Computer
547269-323096,TV
558233-631016,Computer
750133-701109,Other
891011-126040,Game
391154-520085,Game
930466-548084,Computer
729129-701035,Phone
427492-600060,Game
686062-726095,Phone
802476-334013,Game
714250-738085,Other
569316-414009,Computer
499283-420094,Game
392011-690058,Game
500275-427017,Other
749119-761048,Game
137018-284085,TV
512170-580053,TV
980214-259049,Phone
302491-429050,Game
344516-305058,Other
881252-614073,TV
148364-686082,Computer
307116-265106,TV
187242-749052,Computer
281414-437077,TV
007449-299099,Computer
947469-381048,Computer
303085-404049,Game
497214-332006,Computer
429050-562076,Other
642013-761068,Computer
342268-156058,Game
541309-383040,Phone
160457-431000,TV
056323-246046,Other
953009-739082,Tablet
748239-705061,Computer
256045-422002,Tablet
066428-619104,TV
788427-719089,Game
857227-390062,Computer
242319-308004,Other
594098-437099,Phone
953067-265045,Game
585267-148060,Tablet
828098-141021,Computer
512173-755061,Game
997212-653056,TV
233203-670054,Computer
269355-694044,TV
648156-437032,Game
833029-158060,Other
231008-728039,TV
037114-618104,Phone
344106-696023,Tablet
896483-563087,Phone
911060-642048,Computer
224311-611045,Tablet
626347-206035,Phone
735379-304107,Computer
232244-730014,Phone
846071-710028,Other
426329-175009,Tablet
770523-140067,Game
328405-197020,Game
707070-743039,Tablet
769233-111094,Other
801117-161053,Computer
673267-552035,Game
094069-639108,Other
007347-286076,TV
500248-141083,TV
752409-619059,Other
979518-146105,TV
445450-602028,Game
798255-185103,Computer
694258-611073,Tablet
466259-658110,Game
600546-470050,Tablet
531348-293050,Tablet
274242-527042,Game
587089-456075,Other
615073-181062,Phone
010154-405078,Other
610083-303049,Tablet
958248-117069,Other
195236-633078,Other
462361-337047,TV
353037-203032,Other
604130-712000,Game
361442-723025,Tablet
439551-722055,TV
215159-657096,Tablet
127063-690009,Phone
457229-522054,Phone
977527-763029,Other
723346-719073,Phone
189190-701004,Other
451081-658067,Game
753415-156017,Other
669493-586085,Phone
211361-185014,TV
598111-126059,Phone
532496-553039,Other
765326-509057,Other
709407-558100,Computer
697494-309059,Tablet
793484-468055,Game
200307-560015,Computer
562254-180040,TV
062502-540104,Other
251340-256069,Game
735164-263039,Other
913090-449058,Phone
834429-139021,Other
501364-675050,Phone
095359-408055,Tablet
971441-137108,Game
468460-283092,Game
965302-700106,Tablet
100487-357065,Phone
943138-767052,Other
634468-744084,Other
632077-473061,Game
635266-658103,Tablet
370151-500074,Tablet
718241-535075,Other
619036-204040,Tablet
334517-267066,Tablet
527374-352067,Other
192364-733077,TV
626137-725008,Game
909312-626042,Other
396320-397049,Tablet
668063-153010,Game
432366-664017,Phone
294402-589013,Other
364013-578064,Phone
441293-361108,TV
196148-450000,Computer
415203-579100,Other
105233-508068,TV
582142-330028,Phone
169031-644060,Tablet
055524-426006,Phone
932545-405051,Tablet
727077-564072,Computer
852165-452108,Phone
823351-709025,TV
209192-740091,Game
900489-445102,Other
101446-775095,Phone
736145-664091,Game
925418-181109,Game
598533-484006,Phone
143135-378005,Computer
877225-492044,Tablet
137386-694085,Game
860135-521020,Tablet
094278-744108,Game
663063-122013,TV
739298-773086,Computer
420414-282055,Phone
044533-419012,Tablet
708455-211095,Other
417240-613021,Tablet
789503-632022,Other
662209-618055,TV
547201-424039,Phone
261138-618024,Game
457399-284103,Phone
659341-126105,Computer
135453-232031,Other
588237-727087,Computer
301156-723007,Computer
970087-212044,Other
057376-521034,Game
961013-357085,Computer
281435-673033,Game
456454-307101,Computer
945294-690011,Tablet
614047-578064,Phone
962270-636075,Tablet
993378-441101,Other
839468-659056,TV
903221-482027,Game
958171-392006,Phone
274039-387024,Game
656497-116005,Game
410259-300036,Game
287200-559077,TV
292229-290045,Other
578538-398072,Game
936144-535076,Tablet
071373-698099,Game
032157-452043,Tablet
440521-415013,TV
579497-159045,Tablet
055204-683108,Computer
048258-743091,TV
760193-169021,Computer
919249-475104,Other
445437-330066,Tablet
689292-295055,Phone
097349-428041,Other
747357-186078,Tablet
519445-192014,Game
285436-634069,Other
799014-612078,Other
452244-578100,Other
918302-274101,Game
290385-195093,Other
410201-569055,Tablet
832376-758038,Tablet
531304-525071,Tablet
016457-433088,Game
700195-722021,Phone
908545-382058,Game
897158-642092,TV
854363-131106,Other
761382-416091,Tablet
581496-438014,Computer
356203-765071,Phone
976529-252003,Phone
609553-682052,Other
086385-692006,Phone
335307-168014,Tablet
866510-278009,TV
677085-757002,Phone
108307-347032,Other
990407-597035,Game
291070-445096,Other
122522-455076,Game
841447-707102,Other
001242-289044,Other
119193-696069,TV
542524-583079,Computer
659190-749094,Phone
246276-341068,Phone
752480-545001,Other
506162-215013,Other
067073-154102,Game
466422-142050,Phone
846542-675033,Tablet
143251-258005,Phone
617089-653062,TV
025036-263087,Other
422531-244000,Phone
264303-668012,Other
619529-640043,Computer
423211-166029,Phone
514176-327083,Other
979268-155028,Other
701393-738029,TV
548303-710098,TV
522025-521052,Phone
839486-525061,TV
149317-398060,Game
229422-690005,Phone
507300-619016,Tablet
657241-330094,Tablet
928448-442080,Other
597150-475109,Tablet
921320-278097,Tablet
185285-242014,Phone
390104-770017,Game
934151-733039,TV
290322-734000,Other
090489-454010,Tablet
385060-525075,Tablet
717193-380093,Computer
562374-548098,Other
419518-238092,Tablet
737283-690063,Game
780124-597087,Computer
716537-671015,Other
360190-459061,Other
667446-132026,Other
706545-585005,Tablet
513396-188022,TV
423273-704096,Other
961449-216091,Phone
875254-438047,Tablet
068257-382092,TV
298269-194024,TV
691007-177037,Other
630116-693042,Tablet
591302-757046,TV
541258-585068,Phone
056301-619050,TV
673273-697079,Phone
104512-424079,Other
439082-724105,Tablet
344268-450011,TV
400135-683095,Computer
788423-301025,TV
187154-500007,Game
954183-639084,Computer
470143-578102,Game
344041-713098,Tablet
440116-281022,Phone
982523-474000,TV
694056-603070,Other
316190-212019,Tablet
748419-632044,Game
053395-573053,Other
226390-442036,Phone
658246-638035,Computer
019389-132058,Computer
201408-491053,Other
747070-596045,Other
070311-606008,Other
116470-258028,Phone
043352-612089,Phone
977287-249074,Computer
795482-225091,TV
247514-242018,Computer
627499-129063,Game
129399-115083,Phone
383283-216073,Tablet
509416-348090,TV
669233-389008,TV
023461-286032,Computer
318335-112018,Tablet
278287-562012,Other
958465-150066,TV
189278-158061,Phone
796231-740089,Game
204263-278023,Computer
729059-263104,Game
190548-775079,Phone
563267-352094,Other
846042-672085,TV
150202-635051,Phone
103146-603050,TV
040346-198092,TV
890404-775053,Tablet
612396-212090,Phone
892112-440105,Other
879209-584100,Other
205355-370065,TV
787215-616031,Phone
628476-114019,Computer
156360-354107,Game
942069-613108,Game
333252-112036,Tablet
907039-153044,Computer
231115-521040,Phone
232471-373033,Tablet
771490-340051,Phone
615435-610006,Phone
451537-195058,Tablet
489055-568083,Tablet
992421-428102,Tablet
107011-703082,Game
825519-696087,Computer
266503-537039,Tablet
744072-755028,Other
649241-137057,Tablet
928011-426046,TV
404254-684019,Computer
558418-277096,TV
504312-558037,Tablet
123350-164026,Computer
208034-113059,Tablet
447468-425109,TV
396399-518087,Computer
448096-766096,Computer
200033-648038,Computer
510528-138064,Game
792135-134049,TV
881187-464002,Tablet
880226-466057,TV
828071-440045,Phone
775238-512034,Tablet
863456-675028,Phone
407037-480046,Tablet
422158-495077,Phone
085272-434059,Other
261404-724078,Phone
982513-267012,Phone
035199-652050,TV
734099-651059,Game
212463-668110,Tablet
367428-663106,Other
740359-151055,TV
667186-708105,Game
297512-343054,Tablet
337543-578055,Phone
819198-153107,TV
378402-496041,Phone
099326-314058,Phone
898153-305014,Phone
231371-433083,Computer
491226-636032,Tablet
826331-455047,TV
032340-447010,Tablet
889276-379011,Phone
895400-720001,TV
905313-485052,Other
349035-373068,Game
564159-672027,TV
827074-349013,Other
261235-584106,Other
939189-688030,TV
820120-702030,Computer
637443-557046,Game
212553-443061,Tablet
839340-239103,TV
112239-314078,Game
142441-317024,Tablet
411496-382094,TV
724202-600095,Game
014497-526052,Phone
656166-734049,Phone
430442-609052,Phone
868200-709052,Game
688102-221016,Game
870446-517090,Other
267299-450033,Tablet
990148-206011,Phone
397208-415087,Computer
871191-132045,Game
348417-123108,Tablet
535517-505004,TV
639325-301092,TV
288031-744075,Other
850225-173094,TV
858326-722025,Computer
855066-181018,Tablet
538202-227021,Other
155254-398107,Other
059050-514057,TV
348320-212087,Game
836190-373019,Other
473364-250098,Computer
258314-543049,Tablet
287528-254052,Computer
566008-267019,Phone
948401-156003,Phone
174461-411049,Phone
805043-710102,Game
317299-425101,Phone
528062-119030,Game
013445-138000,Phone
179402-702024,TV
023537-696042,Computer
278403-413044,TV
848415-509064,Other
323417-592089,Other
936033-201093,Other
720490-425108,Game
109474-620009,Tablet
277209-364063,Game
607045-716097,Game
977520-495088,Phone
681499-182034,Tablet
522334-447078,Tablet
148011-292022,Other
818102-662042,Game
536318-742072,Phone
775091-322031,Tablet
340243-538011,TV
468163-189057,Phone
064390-125054,TV
656393-608003,Computer
250275-374007,Computer
516189-656073,Computer
055130-252069,Tablet
290525-262032,Other
532054-496061,Other
972521-721045,Other
416035-742058,Tablet
869479-716029,TV
417134-480075,Other
116389-655089,Phone
145281-722073,TV
404451-753058,Game
530209-338015,TV
067341-264036,TV
592322-711058,Tablet
121456-518048,Computer
597002-602093,Other
949124-347108,Phone
329003-307096,Phone
850338-404098,Phone
670364-582030,Tablet
436241-223064,Other
367431-745031,TV
418202-450079,Game
709207-375104,Phone
007482-470105,Tablet
890249-173108,TV
365520-134063,Computer
183357-569057,Computer
100402-191006,Tablet
009328-303022,Phone
987188-378035,Tablet
546285-429027,Phone
189376-515016,Phone
621115-723031,Tablet
492014-216044,Game
707546-661080,Computer
142426-712100,Tablet
569074-226104,Tablet
984023-111058,Tablet
217476-328044,Phone
349296-261093,Other
861547-520003,Phone
863212-755040,Other
560544-189076,Other
247084-529086,Tablet
714378-432067,Computer
842140-407090,Computer
946160-246004,Other
721267-118041,Tablet
281523-388059,Game
581220-409094,Computer
866542-450053,TV
748400-318015,Tablet
766057-668074,Tablet
791259-364068,Game
942091-494089,Computer
270278-618020,Game
868456-495067,Game
125285-540065,TV
951020-731110,TV
410246-729032,Other
253096-643067,Other
792400-162101,Other
849032-644084,Tablet
006548-213021,Other
229080-250022,Tablet
621326-170037,TV
557163-495011,TV
048392-514007,TV
277527-228027,Game
769117-573037,Phone
911399-328084,Tablet
101274-568087,TV
552158-348070,Computer
140438-604076,Game
495157-368079,Game
593095-738087,Computer
588220-452051,Game
720532-501027,Game
168150-360102,Phone
760381-357055,Tablet
565385-535024,Phone
935330-502086,Tablet
070250-579011,Other
530145-477038,TV
460546-313108,Tablet
729224-654076,TV
914479-286081,Tablet
434462-599097,Game
591429-296024,Phone
391084-436095,Tablet
251169-519091,Other
088133-184081,Phone
214495-494068,Computer
695540-145011,Other
636253-499082,Other
646221-385072,Game
079256-352020,TV
202046-239056,Phone
484378-481105,Game
371232-595100,Computer
231547-372091,Computer
050266-414018,Other
291496-560046,Phone
390200-600046,Phone
689450-518000,Other
993175-503080,TV
664183-482020,Phone
120507-441009,Game
521452-365065,Tablet
107358-419010,Tablet
163332-495102,Phone
602415-363066,TV
037058-225027,Computer
760256-761011,TV
982435-317005,Phone
822130-553039,Game
342294-627007,Other
921213-241028,Game
457143-608085,TV
697403-660073,Computer
973014-173018,Game
852468-766037,TV
492534-130024,Other
908242-397101,Phone
281093-698053,Computer
915392-340075,Computer
838261-270069,Phone
532347-264020,Computer
970212-550037,Phone
007317-651065,Computer
587195-763023,Other
209487-423024,TV
681165-585015,Computer
435498-593065,Phone
157002-686018,Tablet
868207-556049,Tablet
921071-481081,Computer
078140-297039,Tablet
633284-655103,Tablet
499099-125095,Computer
227118-675041,Tablet
583289-339044,Phone
379514-220085,Other
581236-740099,Game
131244-276075,TV
543025-623068,Game
010227-739009,Game
497189-436054,Other
837428-187082,Other
135520-560033,Other
372340-361019,TV
304321-115073,Game
367449-479063,TV
451125-524049,TV
351399-614058,Game
347543-455014,Game
829115-317094,Game
546002-242048,TV
223151-168076,Tablet
440291-751068,Phone
334373-208054,Tablet
013191-426010,Computer
416003-141059,TV
372419-725001,Game
580092-488072,TV
353275-400096,Game
985251-362078,Computer
959320-656002,TV
058022-396072,Computer
091536-205008,Other
841180-418055,Phone
219052-688030,Other
026119-583072,TV
243242-207008,TV
725064-390073,Computer
497349-301050,TV
076002-723012,Computer
349425-605106,Tablet
776323-573072,Computer
054511-555103,Other
440206-465036,Other
126225-548104,Computer
114303-363055,Phone
709398-698074,Phone
113330-677049,Computer
790411-676074,Computer
332384-724070,Tablet
519094-618107,Other
516275-704089,Tablet
793131-473035,Other
901434-563080,Game
171444-362013,Other
786454-210057,TV
482437-313109,Other
610280-745007,Other
451304-141098,Game
642100-390016,Other
673390-387020,Game
901304-484100,Game
921507-231096,Phone
603113-696088,Computer
294119-412108,Other
881436-133081,Phone
744082-299049,TV
611286-365075,TV
543525-663072,Other
576235-136093,Tablet
563211-678007,Tablet
919006-446078,Tablet
323517-343040,Other
503396-670083,Phone
726267-150002,Other
342071-132025,Phone
188218-685000,Computer
745545-230034,TV
632040-465025,Other
918191-483105,TV
447364-549024,Other
499139-729076,Phone
659187-262004,Computer
494508-264082,Tablet
247145-208028,Phone
291240-199088,TV
197490-258020,Game
208532-460038,Tablet
832414-249051,Phone
867418-330069,Other
794134-692022,Phone
582482-431005,Phone
358104-361004,TV
622401-737024,TV
269540-612017,Tablet
757310-169033,TV
364311-659007,Computer
656409-339053,Phone
345115-603108,Game
976371-756035,Game
171038-400081,TV
349349-675021,Other
319554-330000,Game
486066-566087,Game
199142-545071,TV
083163-199054,Other
477343-412004,Game
929243-308017,Game
896486-659008,TV
609420-700084,TV
546218-203082,TV
724172-538055,TV
439113-478073,Game
286520-254010,TV
364401-182109,Computer
709056-582003,TV
826330-370043,Computer
232435-403032,TV
222220-463086,Other
747400-566029,Phone
009362-424038,Tablet
346418-711066,Computer
001143-383027,Computer
611482-224079,TV
306190-560082,TV
333140-286109,Game
263528-367084,Phone
782086-144024,TV
645340-192075,Game
495309-606087,Other
303467-519048,Tablet
163295-159034,Other
573179-411005,Other
826258-131088,Computer
156034-660065,Phone
018302-354009,Other
886196-300012,Other
571503-185050,Tablet
394135-722072,Other
326010-608062,Tablet
512209-630071,Other
960288-529089,Computer
056295-139064,TV
110121-193044,Tablet
891351-271077,Tablet
365333-219064,Other
127458-178094,Phone
927089-240026,Other
103144-219110,TV
495446-543098,Other
878356-439019,Phone
819431-574010,Other
067519-573048,Game
606329-127004,Game
550030-720033,TV
398425-383085,Phone
597172-487109,TV
287013-725073,Phone
458213-635106,Game
522165-483035,Phone
768062-761006,Phone
841040-276045,Other
995469-644083,Tablet
527468-697052,Game
772017-749056,Tablet
283540-765046,TV
116154-171049,Phone
349008-335040,Game
692200-417081,TV
914305-732079,Game
387185-356080,TV
457410-577011,TV
262202-579042,Computer
901403-211097,Other
868178-676040,Computer
617441-527073,TV
897504-347077,Tablet
006137-468088,Phone
576299-134067,Other
964525-298093,Game
976122-233075,TV
220184-407076,Game
407429-350053,Computer
595048-434025,Tablet
934315-304064,Game
922249-512103,Computer
651499-330084,TV
077309-305009,Phone
116545-494074,TV
709345-443078,Tablet
810408-516018,Game
745155-339017,Other
892482-750050,TV
248063-332006,Computer
085104-297023,Phone
105431-601104,Game
325033-264098,Computer
713127-569100,Phone
624287-761036,Phone
151403-456069,Phone
781101-758098,Phone
542457-205011,Phone
872470-562109,TV
678287-521039,Other
903347-312040,Phone
658336-766101,Computer
017487-532036,TV
120408-399077,Phone
097475-717083,Game
041264-403053,Tablet
779328-717103,TV
719015-216080,Game
120150-337054,Other
921537-318095,Tablet
313179-376072,TV
180096-580050,Phone
235153-618087,Computer
416336-166039,Phone
908259-540017,Other
249306-258081,Computer
074457-612084,Phone
489194-570096,Tablet
405349-649071,Game
014176-271103,Other
199096-718084,TV
603035-280019,Phone
297458-514110,TV
160049-267009,Game
888470-749084,Game
728014-733007,Other
362425-303047,Phone
052464-492043,Computer
046046-440060,Computer
098028-129082,Other
650087-159042,TV
723291-312082,Game
981067-319063,TV
079397-687097,TV
604305-575055,Phone
962418-741066,TV
025103-262020,TV
426267-361087,TV
657294-769096,Computer
396023-136004,TV
954129-364029,Game
638171-756027,Computer
854237-129082,Game
580031-280085,Tablet
217303-467049,Tablet
392119-753101,Phone
702235-580026,Game
716085-702082,Phone
478477-641000,Tablet
757150-479060,Tablet
153508-261096,TV
048186-581059,Other
240365-372101,Computer
889455-661090,TV
028183-379048,Phone
855486-749089,Other
328205-550002,TV
674146-490005,Other
814351-573028,Other
088525-723029,Phone
690221-359064,Game
180157-663034,Tablet
597109-609053,Phone
311277-417032,Game
944193-545044,Computer
016487-612007,Computer
766012-415074,Phone
812141-147038,Phone
666412-452031,Computer
135088-392090,TV
454216-240074,Game
717393-747090,Phone
529509-363080,TV
293062-563031,Tablet
853193-703049,Tablet
492391-115050,Tablet
524258-122001,Computer
409117-160001,Computer
885156-764074,Computer
569139-368033,Other
132110-648065,Game
331089-166069,Tablet
145421-131032,Phone
829109-112026,TV
492440-691003,Phone
578263-339045,Other
991306-479088,Tablet
079115-404061,Phone
017411-488044,Computer
601441-442059,Tablet
040061-139101,Phone
114150-672048,Computer
793152-535067,Game
258203-698079,Phone
976140-421096,Tablet
020389-676003,Other
891331-438028,Computer
369410-345059,TV
234437-767063,Game
922146-376018,Other
949208-529078,TV
450091-595017,Computer
256263-736013,Other
767098-237043,Other
258195-300051,Game
532388-323098,Computer
959310-152022,Other
409315-481037,Other
770041-568033,Game
643132-771038,TV
739214-370089,Phone
786471-745053,Phone
838170-284002,Game
808191-521047,Tablet
283216-665108,Phone
882377-477010,Computer
782326-469082,Tablet
448044-443018,Computer
484364-406102,TV
645372-626021,Game
099427-303108,Computer
957198-282014,TV
541521-621067,Other
996130-291033,Game
085019-504011,Other
032099-310032,Game
935315-336024,Computer
193086-485035,Computer
927072-190080,Tablet
591350-283092,Computer
792120-274016,Computer
876023-388016,Computer
137447-283012,Game
382255-308035,Phone
814477-311048,Tablet
009519-141064,Tablet
840198-559055,TV
986389-391029,Computer
001098-510044,Other
900399-763069,Tablet
139315-566022,TV
610436-453032,Tablet
441021-201045,TV
385441-602032,Computer
969104-244014,Game
665434-513041,Tablet
215116-684073,Computer
226151-726108,Game
817056-708107,Game
561376-729048,Phone
408493-730087,Game
022032-641011,Tablet
697320-688023,Phone
238013-136009,Other
018354-671049,Computer
237375-666001,Phone
752140-381021,Other
109540-158061,Computer
972491-495023,Game
863000-706061,Computer
369425-289004,Game
027488-611028,Tablet
290329-285088,Game
268166-122087,TV
530185-360009,TV
455088-343056,Phone
051057-530084,Game
305343-238031,Phone
155369-234071,Game
822032-496020,TV
127145-705076,Computer
225463-413084,Other
580211-336068,Game
590082-616074,Game
868186-564025,Other
533540-373040,Game
356213-210005,TV
871264-567015,TV
408501-593018,Game
631388-614082,Phone
486069-575061,Other
259065-153083,Game
939503-341094,Phone
615536-700002,Computer
238219-180004,Computer
988103-298057,Phone
297006-729019,Phone
456460-764021,Computer
079284-241055,Other
162294-352086,Tablet
838123-741071,Phone
963134-395055,TV
444507-550103,Other
521302-441062,Tablet
776479-581036,Computer
312053-114000,Other
353489-496062,Game
152333-719040,TV
677535-343046,Computer
126163-766081,Computer
636042-693082,Phone
297119-667106,TV
187098-474087,Computer
073132-505029,Computer
394095-671016,Computer
991020-251080,TV
942171-420084,Game
686101-450026,Phone
433520-470098,TV
765049-617013,Game
973255-152049,Tablet
337509-761057,TV
964164-338033,Phone
332004-638073,Tablet
710095-734107,Game
804009-140033,Phone
857140-595109,Other
287151-188075,Phone
871541-510095,Computer
026201-615042,Phone
401114-731003,Phone
279475-466002,Phone
686061-737107,Other
109355-476032,Game
493384-663095,Tablet
585517-124040,Phone
352389-206074,Tablet
330135-292063,Tablet
249182-484037,Phone
951284-307021,Computer
732243-182061,Game
243526-567059,TV
068478-225090,TV
547348-324107,Game
427126-521101,Other
371002-699024,Other
587096-337088,Other
270512-231044,Tablet
374375-431066,Other
464495-721083,Game
393320-421110,Game
495098-196089,Game
576173-680072,TV
722022-511031,Tablet
745394-126101,Tablet
238547-520071,Computer
607315-525010,TV
784536-494019,Other
415100-138058,Tablet
326518-640072,Game
507239-302066,Phone
382310-152007,Phone
711321-256067,Game
098414-192038,Game
840388-520091,Other
910263-128007,Computer
849244-254061,Tablet
108416-755042,Computer
187405-697057,TV
031479-627107,Phone
797066-132089,Phone
218503-744067,Game
994333-540078,TV
176476-347096,TV
195435-158017,Computer
976413-514023,TV
987416-555023,TV
399536-483061,Game
557378-617063,Other
122472-446079,TV
970221-131030,TV
073505-211011,Other
030036-500001,Phone
802317-674102,Computer
794334-543048,TV
785508-114026,Game
369430-718105,Other
535301-507075,Tablet
650201-417070,Computer
335386-153073,Other
801105-654041,Phone
263119-354043,Game
607293-719097,TV
086537-713099,Phone
804288-579028,TV
352482-598051,Other
573096-250058,Phone
014251-697050,TV
450184-483059,Computer
893536-403100,Computer
562232-266079,Tablet
992348-174013,Tablet
613146-141012,Game
612446-359069,Tablet
149352-744029,Game
731258-543058,Tablet
783093-456039,Other
320012-757108,TV
417440-564057,Computer
212026-332012,Other
408200-183047,Other
904308-227099,Other
286235-187057,TV
731361-529028,TV
509349-117020,Phone
313486-702037,Game
963462-401039,Tablet
361194-335086,TV
574327-132009,Phone
498269-500038,Other
676161-504104,Computer
836000-389076,Game
933423-261068,Game
232423-532103,Computer
854001-719103,Computer
836431-274025,Tablet
455500-726065,Phone
227012-756018,Tablet
294029-177037,Other
959061-282090,TV
076137-254066,Phone
969528-191043,TV
030399-279082,Game
567086-229092,TV
272255-526034,Phone
743358-310002,Game
568179-127004,Phone
560167-226103,Tablet
857270-257010,Computer
349292-538081,Other
136421-605017,TV
618499-580072,Phone
629240-185019,Computer
319418-445038,TV
424152-581080,Tablet
170334-138043,TV
175070-395091,Phone
604070-303071,Tablet
086308-613068,TV
481554-623083,Game
347510-337002,Tablet
370295-182028,Game
521036-397044,Other
021213-539047,Phone
985040-558106,Phone
297129-544074,Game
886528-503104,Computer
236384-471065,Other
664413-187057,Computer
412070-700046,Other
067315-243101,Tablet
746499-623087,Game
046325-476016,Game
539101-762100,Phone
875106-523032,Computer
678539-433107,Game
579179-286016,Game
250424-597017,Tablet
271472-325108,Computer
494283-345064,Phone
836192-290041,Tablet
505274-684082,Computer
853220-433101,Tablet
309295-445097,Phone
328447-233007,Tablet
493002-385044,Game
621104-173069,Other
714074-493060,Other
387401-351097,Phone
954229-235019,Computer
631399-227099,Game
650055-402061,TV
943532-180034,Other
863095-616027,Computer
532336-343017,Other
227321-198045,Tablet
780551-498070,Phone
186192-594051,Computer
278044-297046,Computer
085173-579093,Game
440217-678105,TV
295255-539101,TV
535449-725106,Other
988146-702050,Other
044276-118003,Game
563274-261073,Tablet
567446-395018,Other
937278-657019,Other
243438-648060,Phone
716248-405077,Game
