item_id,item_desc,dept_id,dept_desc,catg_id,catg_desc,prodClass,prodBrand,item_price,item_cost,next_dept_id,next_catg_id,item_weight
0487-28d0,Barton Marine Stainless Steel ,12,Sports and Outdoors,142,Outdoor Sports, Boats and Marine ,Barton Marine Equipment,31.73,22.21,8,4,22
0488-7b18,Bath and Body Works Vanilla Be,11,Personal Care,17,Bath and Body, Body Wash and Shower Gel,Bath and Body Works,30.5,18.3,8,17,18
0489-a34e,Gentle Foaming Hand Soap (3 Pa,11,Personal Care,17,Bath and Body, Hand Soaps,Bath and Body Works,23.95,7.19,8,17,7
0490-78f8,Bath and Body Works Aromatherapy,11,Personal Care,17,Bath and Body, Body Scrubs and Exfoliators,Bath and Body Works,15.48,9.29,8,17,9
0491-caf3,Batiste Dry Shampoo Cherry Fra,4,Beauty,25,Hair Care, Shampoo ,Batiste,6.48,2.59,5,14,3
0492-0262,120mm Tech - Oval Bases New,12,Sports and Outdoors,143,Recreation, Game Room ,Battle Bases - BioTech Tech and Power Plant,17.49,10.49,8,14,10
0493-983f,3 Pack - Bausch and Lomb Ocuvite,8,Health,95,Vitamins and Supplements, All Vitamins and Supplements,Bausch + Lomb,51.72,36.2,6,102,36
0494-a43b,5 Pack Bausch and Lomb Lubricant,8,Health,71,Eye Care, Eye Drops,Bausch + Lomb,47.31,14.19,6,43,14
0495-1273,Bausch and Lomb Boston Advance C,8,Health,71,Eye Care, Contact Lens Solution,Bausch + Lomb,25.45,7.64,6,43,8
0496-2afe,Bausch And Lomb Advanced Rejuv,8,Health,71,Eye Care, Eye Drops,Bausch + Lomb,11.1,3.33,6,43,3
0497-7889,Bausch and Lomb Genuine Sensitiv,8,Health,71,Eye Care, Eye Drops,Bausch + Lomb,7.52,2.26,6,43,2
0498-c679,Baxter of California After Sha,4,Beauty,37,Premium Mens Grooming, Premium Shave,Baxter of California,17.95,12.57,5,39,13
0501-d0a1,Bayer Advanced Complete Insect,10,Household Essentials,128,Pest Control, All Pest Control,Bayer,57.25,34.35,8,149,34
0502-93fb,Aspirin Regimen Bayer Low Dose,8,Health,86,Pain Relievers, Aspirin,Bayer,9.84,4.92,6,37,5
0503-b157,Bayer Advanced 701320 Home Pes,10,Household Essentials,128,Pest Control, Insect Sprays and Foggers,bayer advanced,57.27,40.09,8,149,40
0504-82fe,Bayou Classic Roux Paddle,8,Health,71,Eye Care, Eye Drops,Bayou Classic,12.09,3.63,6,43,4
0506-3006,9.5mm Platinum-Finished Ball C,12,Sports and Outdoors,140,Bikes, Bike Components ,Beads Discounter Inc,7.27,2.91,8,13,3
0507-4762,Gas Relief Digestion (150 tabl,8,Health,76,Gas Relief, Gas Relief,Beano,47.19,33.03,6,88,33
0508-93d6,Beano Tablets for Gas Preventi,8,Health,90,Restock Health Essentials, Digestive Health ,Beano,4.88,1.95,6,128,2
0509-2417,Bear Archery Salute Ready to H,8,Health,90,Restock Health Essentials, Digestive Health ,Bear,298,89.4,6,128,89
0513-6d51,Beard Guyz Daily Wash 35,11,Personal Care,137,Shaving, Aftershaves,Beard Guyz,15.9,9.54,8,8,10
0514-5b33,Beast Sports Nutrition Creatur,8,Health,88,Protein and Fitness, Creatine,Beast Sports,19.59,5.88,6,106,6
0515-b664,Beau Mac Aluminum Clam Gun,8,Health,88,Protein and Fitness, Creatine,Beau Mac,57.81,34.69,6,106,35
0516-7634,Self Tanner and Tanning Applicat,11,Personal Care,138,Sun Care, Self-Tanners and Bronzers,Beauty by Earth,56.99,39.89,8,5,40
0517-233c,Bebe au Lait Nursing Cover - P,3,Baby,11,Feeding, Breastfeeding,Bebe Au Lait,53.03,26.52,5,7,27
0518-9b6a,Bedtime Sleepers - Muslin - Po,3,Baby,11,Feeding, Breastfeeding,Bebe au Lait,29.95,8.99,5,7,9
0519-0919,305477 305477 305477 Container,8,Health,78,Home Health Care, Diabetic Supplies,BectonDickinson,75.37,30.15,6,86,30
0520-2e3a,Bed Buddy Herbal Naturals Mois,8,Health,86,Pain Relievers, Bed Buddy,Bed Buddy,14.33,10.03,6,37,10
0521-1444,Lambs and Ivy Bedtime Originals ,8,Health,86,Pain Relievers, Bed Buddy,Bedtime Originals,44.99,13.5,6,37,14
0522-be26,Bedtime Originals Pinkie 4pk F,8,Health,86,Pain Relievers, Bed Buddy,Bedtime Originals,40.95,16.38,6,37,16
0523-b2f8,Premium Silicone Swim Cap for ,12,Sports and Outdoors,144,Sports, Swimming ,Beemo,8.99,6.29,8,19,6
0524-f807,2013 Short Sleeve Rash Top Fin,6,Clothing,51,Swim Shop, Kids Swim Shop ,Behind-the-Seat,21.9,6.57,8,29,7
0525-651a,Beistle Co Inc. 13 1/2 Socce,12,Sports and Outdoors,144,Sports, Soccer ,Beistle,6.15,4.31,8,19,4
0526-5c48,Bell Hub Commuter Adult Bike H,12,Sports and Outdoors,140,Bikes, Bike Apparel and Footwear ,Bell,137.47,54.99,8,13,55
0527-653b,Bell Sprout Girls Bike Helmet ,12,Sports and Outdoors,140,Bikes, Bike Apparel and Footwear ,Bell,41.82,12.55,8,13,13
0528-f122,Bell Arella 200 Headlight Blac,12,Sports and Outdoors,140,Bikes, Bike Accessories ,Bell,13.38,8.03,8,13,8
0530-98dd,10 NASAL NOSE FILTERS Breathab,11,Personal Care,138,Sun Care, Sun Care,Belloccio,9.99,4,8,5,4
0531-87eb,Belloccio Set of 2 Premium Tan,11,Personal Care,17,Bath and Body, Loofahs Bath Sponges and Accessories,Belloccio,7.96,3.18,8,17,3
0532-0bb6,Bellwether Coldfront Thermal G,12,Sports and Outdoors,140,Bikes, Bike Apparel and Footwear ,Bellwether,38.32,26.82,8,13,27
0533-5b30,Bellwether Climate Control Glo,12,Sports and Outdoors,140,Bikes, Bike Apparel and Footwear ,Bellwether,34.49,24.14,8,13,24
0534-03bd,Bellwether Windstorm Glove: Bl,12,Sports and Outdoors,140,Bikes, Bike Apparel and Footwear ,Bellwether,31.76,19.06,8,13,19
0535-5414,ProFit Kettle Ball 5 Lb,12,Sports and Outdoors,144,Sports, Golf Equipment ,BenandJonah,35.99,25.19,8,19,25
0538-23d8,The Tricycle in Relation to He,5,Books,42,Language Arts and Disciplines Books, Literacy Books,Benjamin Ward Richardson,25.47,7.64,5,43,8
0539-fb6f,Lyptus Wood Walking Stick With,8,Health,78,Home Health Care, Canes ,Benzara,23.31,13.99,6,86,14
0540-04f2,Berkley Heritage Ice Spinning ,8,Health,78,Home Health Care, Canes ,Berkley,64.08,25.63,6,86,26
0541-d115,Berkley Vanish Fluoro,8,Health,78,Home Health Care, Canes ,Berkley,9.84,2.95,6,86,3
0542-3fae,Berkley PowerBait Sparkle Powe,8,Health,78,Home Health Care, Canes ,Berkley,5.51,3.31,6,86,3
0543-3969,Berta 1875W Professional Hair ,12,Sports and Outdoors,140,Bikes, Bike Apparel and Footwear ,BERTA,29.99,17.99,8,13,18
0545-b3c7,Best Choice Products 6ft Indoo,3,Baby,11,Feeding, Toddler Feeding,Best Choice Products,62.99,37.79,5,7,38
0546-8ec7,Best Naturals Calcium Citrate ,8,Health,95,Vitamins and Supplements, Minerals ,Best Naturals,12.49,3.75,6,102,4
0547-7469,Best Naturals Grape Seed Extra,8,Health,95,Vitamins and Supplements, Herbal Supplements ,Best Naturals,8.99,6.29,6,102,6
0548-b033,Sesame Body Oil - 8 oz - 100% ,11,Personal Care,17,Bath and Body, Body Oils,Best of Nature,18.82,13.17,8,17,13
0549-5c2e,BESTA Surfboard Leash Premium ,12,Sports and Outdoors,143,Recreation, Outdoor Games ,BESTA,19.99,6,8,14,6
0551-4acd,Massage Table Massage Bed Spa ,8,Home and Garden,101,Decor, Throw Pillows ,BestMassage,99.99,50,6,139,50
0552-7979,Bestway Inflatable Hydro Force,12,Sports and Outdoors,142,Outdoor Sports, Paddling ,Bestway,335.99,100.8,8,4,101
0553-7aa5,Bestway Pool Filter Pump Cartr,12,Sports and Outdoors,142,Outdoor Sports, Paddling ,Bestway,200.99,120.59,8,4,121
0554-4177,Bestway 118 x 79 Above Ground,1,Toys,150,Outdoor Play, Floats and Pool Games ,Bestway,23.99,16.79,5,20,17
0555-c894,Deluxe Acrylic Catchers Helmet,12,Sports and Outdoors,144,Sports, Baseball Gear and Equipment ,Better Display Cases,81.09,40.55,8,19,41
0556-682d,Soccer Decorative Pillow for K,3,Baby,15,Toddlers Room, Toddlers Room Decor ,Better Homes and Gardens,9.97,6.98,5,12,7
0557-e852,Jobri BetterRest Deluxe Body P,8,Health,78,Home Health Care, Bedroom Aids and Safety,BetterRest,65.4,45.78,6,86,46
0558-c0bf,DURA FLEX ICE SCRATCHERS,12,Sports and Outdoors,142,Outdoor Sports, Winter Sports ,BETWEEN THE LIN,87.96,26.39,8,4,26
0567-9fe5,ASU Appalachian App State Moun,12,Sports and Outdoors,144,Sports, Tennis and Racquets ,BHFC,19.95,9.98,8,19,10
0568-115e,BHU Foods BHU FIT Protein Cook,8,Health,65,Cold Cough and Flu, Throat Remedies ,BHU Foods,12.95,6.48,6,85,6
0570-9e4c,BIC Comfort 3 Hybrid Mens 3-Bl,11,Personal Care,137,Shaving, Razors,BIC,9.97,2.99,8,8,3
0571-ff8c,BIC Hybrid 4 Flex Mens Disposa,4,Beauty,26,Here for Every Beauty, Mens Grooming,BIC Hybrid 4 Flex,8.72,4.36,5,10,4
0572-fc42,2 DECKS OF TALLY HO No 9 ORIGI,1,Toys,154,Shop Toys by Price, Shop Toys by Price,Bicycle,9.24,5.54,5,22,6
0573-c0c7,Sunrize Tackle Big Hammer 1/2-,10,Household Essentials,121,Bathroom, Air Freshener and Deodorizer Refills,Big Hammer,6.29,1.89,8,130,2
0574-b04a,Big Moss Golf COMPETITOR 3 X 9,12,Sports and Outdoors,144,Sports, Golf Equipment ,Big Moss Golf,179,89.5,8,19,90
0575-5995,Changing Station Horizontal 21,3,Baby,13,Nursery and Decor, Changing Tables ,Bigbolo,376.52,188.26,5,19,188
0576-5f5e,45lb Cast Iron Kettlebell,3,Baby,13,Nursery and Decor, Changing Tables ,Bigbolo,113.97,45.59,5,19,46
0577-15d4,FRANKLIN OFFICIAL GRIP-RITE PU,12,Sports and Outdoors,144,Sports, Football Gear and Equipment ,Bigbolo,42.36,21.18,8,19,21
0578-0068,GOLF DELUXE DANGLERS,12,Sports and Outdoors,144,Sports, Golf Equipment ,Bigbolo,15.83,11.08,8,19,11
0579-704e,Cordless Nose Hair Trimmer,11,Personal Care,137,Shaving, Trimmers and Groomers,Bigbolo,7.74,3.1,8,8,3
0580-c80c,Bigfoot Outdoor Camping Hammoc,4,Beauty,25,Hair Care, Hair Color ,Bigfoot Outdoor Products,20.15,6.05,5,14,6
0581-7a58,BigMouth Inc. Snowman Snow Tub,12,Sports and Outdoors,142,Outdoor Sports, Winter Sports ,BIGMOUTH INC.,19.99,11.99,8,4,12
0582-6197,PURPLE XTM CHAIN HOLDER KEEPS ,12,Sports and Outdoors,140,Bikes, Bike Accessories ,BIKE MEDICINE,18.9,9.45,8,13,9
0583-5eac,BIKEIN PRO 1 Pair of Cycling M,12,Sports and Outdoors,140,Bikes, Bike Accessories ,BIKEIN PRO,7.76,5.43,8,13,5
0584-20e8,Bikers Choice 110012 Shift Rod,12,Sports and Outdoors,140,Bikes, Bike Accessories ,Bikers Choice,56.42,16.93,8,13,17
0585-eb29,Bikini Zone Anti-Bumps Shave G,11,Personal Care,137,Shaving, Shaving Cream,Bikini Zone,51.06,25.53,8,8,26
0586-44a4,BILTWELL Rocker Footpegs Black,3,Baby,7,Baby Activities and Gear, Baby Bouncers and Rockers ,BILTWELL,89.95,53.97,5,23,54
0588-a1c4,Biofinest Ginkgo Biloba Leaf E,8,Health,95,Vitamins and Supplements, Herbal Supplements ,Biofinest,11.95,3.59,6,102,4
0589-7551,Biokleen - Citrus Essence Auto,10,Household Essentials,123,Cleaning Supplies, Dishwashing ,Biokleen,6.99,2.8,8,139,3
0591-e510,Bionik 105 Nano White Golf Put,12,Sports and Outdoors,144,Sports, Golf Equipment ,Bionik,39.9,19.95,8,19,20
0592-068d,BioSpawn ExoSwim,4,Beauty,34,Premium Hair Care, Premium Hair and Scalp Treatments,BioSpawn,5.99,3.59,5,42,4
0593-4ef3,Marvels Spiderman Bike Bicycle,12,Sports and Outdoors,140,Bikes, Bike Accessories ,Bioworld,25.2,10.08,8,13,10
0594-549e,Natures Defense Organic ALL An,10,Household Essentials,128,Pest Control, Insect and Pest Repellents,Bird-X,19.99,10,8,149,10
0595-8502,Bird X Bird Spikes Polycarbona,8,Home and Garden,104,Garden Center, Insect and Pest Control,Bird-X Inc.,40.49,16.2,6,132,16
0596-b028,Portable Snack Bar Case Play S,1,Toys,150,Outdoor Play, Climbers,Bisontec,10.48,5.24,5,20,5
0597-1f95,BIZ Stain and Odor Eliminator La,10,Household Essentials,125,Laundry, Laundry Detergents,biz,25.22,17.65,8,121,18
0599-b4c7,Black Ops MX-1100 Rear Flip-Fl,12,Sports and Outdoors,140,Bikes, Bike Components ,Black Ops,34.89,17.45,8,13,17
0600-1440,Black Ops MX-1100 SF Front Hub,12,Sports and Outdoors,140,Bikes, Bike Components ,Black Ops,34.47,10.34,8,13,10
0601-9714,Black Ops Headset Semi-Int Fs ,12,Sports and Outdoors,140,Bikes, Bike Components ,Black Ops,17.36,8.68,8,13,9
0602-8ac5,BRAKE LEVER BK-OPS STDandU ALY H,12,Sports and Outdoors,140,Bikes, Bike Components ,BLACK OPS,13.85,5.54,8,13,6
0603-011e,Black Ops Cycling BMX Turbo Gr,12,Sports and Outdoors,140,Bikes, Bike Components ,Black Ops,10.92,6.55,8,13,7
0604-655a,Black Ops Cassette Drive Hub R,12,Sports and Outdoors,140,Bikes, Bike Components ,Black Ops,7.69,4.61,8,13,5
0605-6b6c,Black Top Body Oil - African M,11,Personal Care,17,Bath and Body, Body Oils,BLACK TOP,9.99,6.99,8,17,7
0606-ada8,Blackouttees Champro CP035 You,12,Sports and Outdoors,144,Sports, Baseball Gear and Equipment ,Blackout Tees,22.11,6.63,8,19,7
0607-fff4,Blackstone Duo Griddle and Charc,12,Sports and Outdoors,144,Sports, Baseball Gear and Equipment ,Blackstone,147,44.1,8,19,44
0608-50af,Bladerunner Formula 90 Mens In,12,Sports and Outdoors,140,Bikes, Bike Components ,bladerunner,139.95,83.97,8,13,84
0609-b087,Bladez Echelon GS Stationary I,12,Sports and Outdoors,140,Bikes, Bike Components ,Bladez Fitness,370.99,259.69,8,13,260
0610-0764,Blakemore Road Runner Head Pro,11,Personal Care,136,Oral Care, Oral Pain Relief,Blakemore Road Runners,7.78,2.33,8,22,2
0611-79e7,Triple Play Moonwalk Double Sl,1,Toys,150,Outdoor Play, Bounce Houses ,Blast Zone,348.37,243.86,5,20,244
0612-3e3d,Nespresso Reusable Empty Refil,12,Sports and Outdoors,144,Sports, Basketball ,BLENDERS AND PARTS,16.99,5.1,8,19,5
0613-29f1,Blephadex Eyelid Wipes 30 Ct,8,Health,71,Eye Care, Eye Drops,Blephadex,22.95,13.77,6,43,14
0614-55a7,Bleu Beaute Sweet Almond Cocoa,11,Personal Care,17,Bath and Body, Stretch Mark Treatments,Bleu Beaute,9.95,6.97,8,17,7
0615-4ef7,Blink-n-Clean Lens Eye Drops 0,8,Health,71,Eye Care, Eye Irritation,Blink,6.77,2.71,6,43,3
0616-5f9c,24 Pack Blistex DCT Daily Cond,4,Beauty,26,Here for Every Beauty, Makeup ,Blistex,50.35,30.21,5,10,30
0617-5ad6,blistex medicated lip balm spf,4,Beauty,26,Here for Every Beauty, Makeup ,blistex,22.68,11.34,5,10,11
0618-8ff1,Blistex Lip Medex .25-Ounce 12,4,Beauty,26,Here for Every Beauty, Makeup ,Blistex,22.06,15.44,5,10,15
0619-b60f,6 Pack Foille Medicated First ,8,Health,74,First Aid, Antibiotics and Antiseptics,Blistex,19.74,11.84,6,60,12
0620-d093,4 Pack - Blistex Bliss Flip So,4,Beauty,26,Here for Every Beauty, Makeup ,Blistex,17.96,10.78,5,10,11
0621-0ee2,Medicated Lip Balm,4,Beauty,26,Here for Every Beauty, Makeup ,Blistex,17.66,7.06,5,10,7
0622-4be5,5 Pack Blistex Deep Renewal Li,4,Beauty,26,Here for Every Beauty, Makeup ,Blistex,15.64,10.95,5,10,11
0623-ccc9,blistex five star lip protecti,4,Beauty,26,Here for Every Beauty, Makeup ,blistex,12.93,5.17,5,10,5
0624-f5cb,Blistex Simple and Sensitive L,4,Beauty,26,Here for Every Beauty, Makeup ,blistex,12.03,8.42,5,10,8
0625-412f,4 Pack Blistex - DCT Daily Con,4,Beauty,26,Here for Every Beauty, Makeup ,Blistex,11.27,4.51,5,10,5
0626-3233,Blistex Lip Medex 0.38 oz (Pac,4,Beauty,26,Here for Every Beauty, Makeup ,Blistex,10.86,6.52,5,10,7
0627-5c09,blistex lip protectant sunscre,4,Beauty,26,Here for Every Beauty, Makeup ,blistex,9.48,5.69,5,10,6
0628-d9ee,2 Pack Blistex Soft and Lush Siz,4,Beauty,26,Here for Every Beauty, Makeup ,Blistex,8.8,6.16,5,10,6
0629-22b2,Blistex DCT Daily Conditioning,4,Beauty,26,Here for Every Beauty, Makeup ,Blistex,8.31,4.99,5,10,5
0630-c686,Blistex Complete Moisture Lip ,4,Beauty,26,Here for Every Beauty, Makeup ,Blistex,8.04,4.82,5,10,5
0631-29b8,Blistex Medicated Lip Ointment,4,Beauty,26,Here for Every Beauty, Makeup ,Blistex,7.14,4.28,5,10,4
0632-a528,Blistex Lip Vibrance Lip Prote,4,Beauty,26,Here for Every Beauty, Makeup ,Blistex,6.6,2.64,5,10,3
0633-0f1e,Blistex Complete Moisture Lip ,4,Beauty,26,Here for Every Beauty, Makeup ,Blistex,6.59,4.61,5,10,5
0634-4440,2 Pack - Blistex Medicated Lip,4,Beauty,26,Here for Every Beauty, Makeup ,Blistex,6.06,3.03,5,10,3
0635-03c1,Blistex Medicated Mint Balm SP,4,Beauty,26,Here for Every Beauty, Makeup ,Blistex,5.59,3.35,5,10,3
0636-ae2f,Blistex Lip Medex Cooling Reli,4,Beauty,26,Here for Every Beauty, Makeup ,Blistex,5.55,2.22,5,10,2
0637-8d70,Blitz Silver Shine Polishing and,10,Household Essentials,123,Cleaning Supplies, Surface Care and Protection,Blitz,7.95,5.57,8,139,6
0638-6e6f,Perfect Blond Diy Hair Lighten,4,Beauty,25,Hair Care, Hair Color ,Blond Forte,6.5,2.6,5,14,3
0643-ec0b,6 Pack - Blue Lizard Australia,11,Personal Care,138,Sun Care, Sunscreen,Blue Lizard,109.55,54.78,8,5,55
0645-b8c1,Blue Sea 2019 PowerBar Common ,12,Sports and Outdoors,142,Outdoor Sports, Boats and Marine ,BLUE SEA SYSTEM,33.25,19.95,8,4,20
0646-d06a,Blue Sea 7903 Battery Switch K,12,Sports and Outdoors,142,Outdoor Sports, Boats and Marine ,Blue Sea Systems,22.72,13.63,8,4,14
0647-65d2,Blue Sea 7481 360 Panel - Rock,12,Sports and Outdoors,142,Outdoor Sports, Boats and Marine ,Blue Sea Systems,22.67,6.8,8,4,7
0649-fe6a,Blue Wave Snap-Lock Deck Ladde,8,Home and Garden,108,Home Safety, Alarm Systems ,Blue Wave,138.88,41.66,6,129,42
0650-d99e,52-in A-Frame Ladder w/ Safety,8,Home and Garden,108,Home Safety, Alarm Systems ,Blue Wave,119.99,71.99,6,129,72
0651-8286,Bluebonnet Nutrition EarthSwee,8,Health,95,Vitamins and Supplements, Letter Vitamins ,Bluebonnet,9,6.3,6,102,6
0652-0f95,BMW M Motorsport Roma Mens Bla,12,Sports and Outdoors,140,Bikes, Bike Apparel and Footwear ,BMW,85,51,8,13,51
0653-5bdd,BnM Poles Bucks Best Ultralite,12,Sports and Outdoors,140,Bikes, Bike Apparel and Footwear ,Bn M Poles,15.01,4.5,8,13,5
0654-a0f3,Spy Gear Glasses. Night Vision,8,Health,88,Protein and Fitness, Protein Powder ,BNJ,97.49,39,6,106,39
0655-e61b,Heavy-Duty Aluminum Foil Roll ,10,Household Essentials,127,Paper and Plastic, Plastic Wrap,Boardwalk,126.29,75.77,8,146,76
0656-c7ad,BWK7110 Standard Aluminum Foil,10,Household Essentials,127,Paper and Plastic, Plastic Wrap,Boardwalk,44.64,13.39,8,146,13
0657-ebc7,Boardwalk Paper 088-58109 Whit,10,Household Essentials,127,Paper and Plastic, Paper Towels,Boardwalk Paper,16.96,11.87,8,146,12
0658-444d,BOB Yak Plus Trailer In Black ,12,Sports and Outdoors,140,Bikes, Bike Accessories ,BOB,417.15,208.58,8,13,209
0661-736a,Bobs Red Mill Plant Protein Po,8,Health,88,Protein and Fitness, Organic Protein Powder,Bobs Red Mill,98.28,58.97,6,106,59
0671-7df6,Body Drench by Body Drench - Q,11,Personal Care,138,Sun Care, Self-Tanners and Bronzers,Body Drench,39.89,11.97,8,5,12
0672-49c1,BSTWVP40 40lb Premium Adjustab,8,Health,75,Foot Care, Foot Files,Body Solid Tools,93.56,46.78,6,40,47
0673-60d0,Body Sport BDS115WGT5 Pump Set,8,Health,75,Foot Care, Foot Files,BODY SPORT,18.44,12.91,6,40,13
0674-b9b4,Body Toolz Ingrown Toe Nail Ki,8,Health,75,Foot Care, Corn and Callus Removers,Body Toolz,19.9,9.95,6,40,10
0675-dd58,(2 pack) Bodycology Bodycology,4,Beauty,23,Fragrance Best Sellers, Best Womens Perfume,bodycology,7.7,5.39,5,3,5
0676-6f4e,PerfectAmino (6-pack special) ,8,Health,94,Superfoods and Cleanses, Intestinal Cleanse,BodyHealth,159.95,79.98,6,138,80
0677-94ac,Pair of Nipple Clicker with Pr,3,Baby,11,Feeding, Bottle Feeding,BodyJewelryOnline,10.81,7.57,5,7,8
0678-0d63,Baby Hip Seat Carrier Kid Todd,3,Baby,7,Baby Activities and Gear, Baby Carriers and Wraps ,BODYJONES,25.19,12.6,5,23,13
0679-512e,Electric Cordless Vacuum Ear C,8,Health,70,Ear Care, Ear Cleaners,BODYJONES,13.99,7,6,57,7
0680-d8b0,A GIRLS SOCCER SHORTS BLUE 6/6,12,Sports and Outdoors,144,Sports, Soccer ,BODYSMART,6.95,4.87,8,19,5
0681-5f4d,100 Pure Creatine Monohydrate ,8,Health,88,Protein and Fitness, Muscle Building Supplements,BodyTech,19.99,8,6,106,8
0682-027e,Mercedes 2-Piece Dyed Shag Dec,3,Baby,15,Toddlers Room, Toddlers Room Decor ,Boho Living,29.99,15,5,12,15
0683-7c36,Boiron Quietude Tablets 60 ea ,8,Health,93,Sleep and Snoring Aids, Sleep and Snoring Aids,Boiron,19.72,13.8,6,104,14
0684-64ba,Ledum Palustre 1M Boiron 80 Pe,8,Health,95,Vitamins and Supplements, Homeopathic Remedies ,Boiron,9.9,6.93,6,102,7
0685-d007,Boiron Chestal Adult Honey Col,8,Health,95,Vitamins and Supplements, Homeopathic Remedies ,Boiron,7.14,4.28,6,102,4
0686-a20c,Boiron Single Remedies Ignatia,8,Health,95,Vitamins and Supplements, Homeopathic Remedies ,Boiron,6.99,4.19,6,102,4
0688-5d83,*Bolle Replacement Lenses 5041,12,Sports and Outdoors,144,Sports, Tennis and Racquets ,Bollé,41.4,20.7,8,19,21
0689-0a07,Bolle Winter Virtuose Matte Bl,12,Sports and Outdoors,142,Outdoor Sports, Winter Sports ,Boll��,169.99,51,8,4,51
0690-927b,Women`s Brush Strokes Tennis S,12,Sports and Outdoors,144,Sports, Tennis and Racquets ,Boll��,68,34,8,19,34
0691-a398,*Bolle Helmets 30979 Soft Blac,12,Sports and Outdoors,142,Outdoor Sports, Winter Sports ,Boll��,49.99,20,8,4,20
0693-b8e9,Bonide 16oz. Fruit Tree Spray ,10,Household Essentials,128,Pest Control, Insect Sprays and Foggers,Bonide,19.12,7.65,8,149,8
0694-ecc1,REVENGE BARN and STABLE FLY SPRA,10,Household Essentials,128,Pest Control, Insect Sprays and Foggers,BONIDE PRODUCTS INC P,70.06,21.02,8,149,21
0695-afc5,BONT Riot MTB+ BOA Cycling Sho,12,Sports and Outdoors,140,Bikes, Bike Apparel and Footwear ,Bont,199,139.3,8,13,139
0697-718a,Boomerang Fly Box Small with S,8,Health,78,Home Health Care, Mobility Equipment Accessories ,Boomerang,15.54,7.77,6,86,8
0698-34fe,Feather Boomerangs - a very Li,12,Sports and Outdoors,143,Recreation, Outdoor Games ,Boomerangs.com,16.95,6.78,8,14,7
0699-c649,Boon Flo Water Deflector And P,3,Baby,12,Health and Safety, Baby Proofing,Boon,13.13,7.88,5,18,8
0700-d430,Boost Plus Nutritional Energy ,8,Health,96,Weight Management, Meal Replacements,BOOST,58.99,35.39,6,132,35
0701-8f1c,Boost Original Complete Nutrit,8,Health,78,Home Health Care, Adult Nutrition,BOOST,7.97,4.78,6,86,5
0702-a320,Polymer Tec Boston Multi-Actio,8,Health,71,Eye Care, Boston,Boston,10.68,4.27,6,43,4
0703-d0cb,Botanic Choice Blood Pressure ,8,Health,78,Home Health Care, Blood Pressure Monitors,Botanic Choice,76,38,6,86,38
0706-8b70,Bounce Zone Mini Residential I,1,Toys,150,Outdoor Play, Bounce Houses ,BounceZone,242.99,121.5,5,20,122
0707-0cd8,Bowflex SelectTech Dumbbell St,3,Baby,13,Nursery and Decor, Gliders and Rocking Chairs ,Bowflex,249.86,74.96,5,19,75
0708-0fc8,3G Mens Tour Ultra Bowling Sho,12,Sports and Outdoors,144,Sports, Bowling ,Bowlerstore Products,167.95,50.39,8,19,50
0709-b21c,Emoji Steamed Devil Bowling Pi,12,Sports and Outdoors,144,Sports, Bowling ,Bowlerstore Products,89.95,44.98,8,19,45
0710-8267,Bownet 7 x 7 Big Mouth X Porta,12,Sports and Outdoors,144,Sports, Baseball Gear and Equipment ,Bownet,292.96,146.48,8,19,146
0711-f20f,Bownet Soccer 4x12,12,Sports and Outdoors,144,Sports, Soccer ,Bownet,274.99,110,8,19,110
0712-fc46,Pass Zone Attachment for the S,12,Sports and Outdoors,144,Sports, Track and Field Equipment,Bownet,49.99,29.99,8,19,30
0713-80d9,Boxer Adhesives Vinyl Pool Rep,12,Sports and Outdoors,140,Bikes, Bike Components ,Boxer Adhesives,19.98,13.99,8,13,14
0714-6e74,BPBOP Yellow Star Moon And Dre,3,Baby,15,Toddlers Room, Toddlers Room Decor ,BPBOP,16.99,8.5,5,12,9
0715-a1e6,BPI Sports Best Glutamine Powd,8,Health,88,Protein and Fitness, Glutamine,BPI Sports,26.45,15.87,6,106,16
0716-4139,Battery Organizer Storage Case,10,Household Essentials,122,Batteries, All Batteries,BPS Pro,36.8,18.4,8,140,18
0717-85bd,Bradley Adult Basic Fishing Li,12,Sports and Outdoors,142,Outdoor Sports, Water Sports ,Bradley,29.99,15,8,4,15
0718-f9e2,Bradley Type IV Boat Cushion U,12,Sports and Outdoors,142,Outdoor Sports, Water Sports ,Bradley,23.95,16.77,8,4,17
0720-b2c9,Carlson Labs Wild Norwegian Co,8,Health,95,Vitamins and Supplements, Fish Oils and Omegas ,brand,14.14,7.07,6,102,7
0725-9aba,3 packs-Dr. Browns Original Wi,3,Baby,11,Feeding, Bottle Feeding,Brand by Dr. Browns,12.95,5.18,5,7,5
0728-d93e,Product of Glad Cling Plastic ,10,Household Essentials,127,Paper and Plastic, Plastic Wrap,Brand Glad Press,19.46,7.78,8,146,8
0737-f6e3,6 Pack - Brasso Polish Pack Bu,10,Household Essentials,123,Cleaning Supplies, All-Purpose Cleaners,Brasso,86.83,34.73,8,139,35
0738-182f,Brazos 37 Twisted Oak Crook N,8,Health,78,Home Health Care, Canes ,Brazos Walking Sticks,53.51,32.11,6,86,32
0739-d73c,Brazos 37 Twisted Oak or Ash ,8,Health,78,Home Health Care, Canes ,Brazos Walking Sticks,52.24,31.34,6,86,31
